train_idx,client_ID,gender,age,martial_status,location,products_count,monthly_count,mean_spending,label
78,c-774980346637,F,65-69,Married,City,227,4,85.32,2
79,c-806510684472,M,15-19,Single,City,1,1,4.82,0
80,c-877784920462,M,15-19,Single,City,27,5,9.34,4
81,c-222462011894,M,40-44,Married,Town,302,2,157.17,2
82,c-430835412706,F,40-44,Married,City,355,6,92.04,2
83,c-222462011894,M,55-59,Married,Town,172,2,127.95,2
84,c-703706110647,F,70-74,Married,City,115,8,42.5,4
85,c-150655618403,M,60-64,Married,City,159,3,95.14,2
86,c-815497904495,F,20-24,Married,City,48,1,66.6,4
87,c-150655618403,M,15-19,Single,City,33,3,14.9,4
88,c-906757616828,M,45-49,Married,City,236,4,129.24,2
89,c-714148374900,F,55-59,Single,City,34,10,9.41,3
90,c-058303313989,Other,40-44,Married,City,160,2,124.96,2
91,c-705161154877,M,50-54,Married,City,91,10,25.37,4
92,c-806510684472,M,75-79,Married,City,131,1,106.85,2
93,c-430835412706,F,45-49,Married,City,147,6,57.54,2
94,c-714148374900,F,45-49,Married,City,196,10,33.87,4
95,c-906757616828,M,45-49,Married,City,392,4,151.73,2
96,c-150655618403,M,20-24,Single,Town,34,3,22.4,4
97,c-978031852818,M,60-64,Married,City,176,8,51.7,2
98,c-906757616828,M,40-44,Single,City,87,4,35.34,4
99,c-785432616048,Other,15-19,Single,City,37,4,16.46,4
100,c-341030744603,F,50-54,Married,City,158,9,28.82,4
101,c-222462011894,M,40-44,Married,Town,129,2,115.51,2
102,c-906757616828,M,20-24,Single,City,53,4,21.63,4
103,c-906757616828,M,45-49,Married,City,204,4,147.1,2
104,c-213474791871,F,15-19,Single,City,22,2,15.08,4
105,c-430835412706,F,50-54,Married,City,155,6,71.12,2
106,c-806510684472,M,45-49,Married,City,78,1,109.45,2
107,c-439822632729,M,55-59,Divorced,City,47,6,27.76,1
108,c-542627206554,F,40-44,Married,City,90,3,125.62,1
109,c-542627206554,F,30-34,Married,City,344,3,127.82,4
110,c-213474791871,F,50-54,Divorced,City,38,2,43.34,4
111,c-213474791871,F,35-39,Married,City,141,2,144.24,2
112,c-430835412706,F,20-24,Single,Town,29,6,6.41,3
113,c-341030744603,F,40-44,Divorced,City,50,9,11.71,3
114,c-906757616828,M,40-44,Single,Town,59,4,31.39,4
115,c-341030744603,F,75-79,Married,City,98,9,24.28,4
116,c-222462011894,M,70-74,Married,City,60,2,95.54,1
117,c-542627206554,F,25-29,Single,Town,18,3,21.3,0
118,c-213474791871,F,65-69,Married,City,34,2,94.05,1
119,c-542627206554,F,60-64,Married,City,67,3,94.87,1
120,c-430835412706,F,45-49,Divorced,City,459,6,108.53,2
121,c-150655618403,M,25-29,Single,City,29,3,20.27,0
122,c-970669382377,Other,40-44,Single,City,265,3,160.6,4
123,c-221929854393,M,55-59,Married,City,183,7,78.37,2
124,c-806510684472,M,55-59,Married,City,28,1,142.29,1
125,c-268301464383,M,85-89,Single,City,48,13,7.66,3
126,c-221929854393,M,35-39,Married,Town,323,7,80.69,2
127,c-815497904495,F,40-44,Married,Town,56,1,110.36,2
128,c-541172162324,M,50-54,Divorced,City,92,15,13.06,3
129,c-532184942301,F,85-89,Widowed,City,131,15,17.92,4
130,c-815497904495,F,60-64,Married,City,26,1,113.58,1
131,c-970669382377,Other,20-24,Single,City,46,3,22.92,4
132,c-856706852038,Other,90-94,Divorced,City,48,8,17.78,3
133,c-806510684472,M,30-34,Single,Town,39,1,39.67,4
134,c-877784920462,M,35-39,Married,City,146,5,60.86,2
135,c-542627206554,F,55-59,Single,City,67,3,39.52,4
136,c-542627206554,F,25-29,Single,City,24,3,17.95,0
137,c-684083086453,Other,50-54,Divorced,City,96,13,15.88,3
138,c-150655618403,M,35-39,Married,City,256,3,129.04,2
139,c-150655618403,M,65-69,Divorced,Town,229,3,167.84,2
140,c-806510684472,M,85-89,Married,Town,16,1,79.94,1
141,c-542627206554,F,70-74,Divorced,City,60,3,37.53,4
142,c-632431874657,F,60-64,Widowed,City,40,12,8.96,4
143,c-774980346637,F,35-39,Single,City,332,4,164.38,4
144,c-542627206554,F,35-39,Married,City,201,3,113.61,2
145,c-815497904495,F,30-34,Single,City,30,1,34.83,4
146,c-877784920462,M,45-49,Divorced,Town,313,5,117.34,2
147,c-469897926334,M,55-59,Married,City,285,19,37.78,4
148,c-213474791871,F,65-69,Married,City,116,2,78.43,2
149,c-886772140485,F,35-39,Single,City,42,5,21.74,4
150,c-603459178291,F,60-64,Single,Town,26,11,5.59,3
151,c-542627206554,F,80-84,Widowed,City,24,3,18.68,4
152,c-632431874657,F,60-64,Married,City,136,12,21.22,4
153,c-150655618403,M,50-54,Married,City,217,3,141.43,2
154,c-774980346637,F,60-64,Divorced,City,84,4,22.78,4
155,c-339575700373,M,45-49,Married,City,212,9,38.78,4
156,c-970669382377,Other,20-24,Single,City,13,3,19.34,0
157,c-222462011894,M,65-69,Married,City,72,2,94.27,2
158,c-978031852818,M,65-69,Divorced,City,20,8,6.14,3
159,c-886772140485,F,75-79,Married,City,163,5,62.08,2
160,c-906757616828,M,60-64,Divorced,City,43,4,25.79,4
161,c-542627206554,F,25-29,Single,City,48,3,21.46,4
162,c-785422610890,F,20-24,Married,City,68,14,12.15,0
163,c-542627206554,F,60-64,Married,City,118,3,103.11,2
164,c-632431874657,F,60-64,Widowed,Town,25,12,5.6,4
165,c-542627206554,F,20-24,Married,Town,87,3,82.02,0
166,c-222462011894,M,20-24,Single,City,21,2,18.51,4
167,c-542627206554,F,35-39,Single,Town,45,3,31.51,4
168,c-815497904495,F,20-24,Single,City,18,1,21.93,4
169,c-295191292114,F,45-49,Married,City,452,20,42.01,4
170,c-970669382377,Other,70-74,Single,Town,49,3,33.43,4
171,c-213474791871,F,20-24,Single,City,34,2,26.1,4
172,c-886772140485,F,65-69,Divorced,City,18,5,11.07,1
173,c-774980346637,F,55-59,Married,City,210,4,145.14,2
174,c-703706110647,F,65-69,Married,Town,232,8,51.3,2
175,c-222462011894,M,85-89,Married,City,23,2,69.04,1
176,c-213474791871,F,70-74,Divorced,City,9,2,24.89,1
177,c-995430766442,M,70-74,Divorced,City,151,11,25.37,3
178,c-221929854393,M,45-49,Married,City,380,7,83.48,2
179,c-096780296037,M,70-74,Married,City,63,20,6.9,4
180,c-877784920462,M,30-34,Divorced,City,30,5,17.95,4
181,c-886772140485,F,45-49,Married,City,185,5,72.09,2
182,c-978031852818,M,55-59,Married,City,255,8,64.7,2
183,c-956953784394,Other,80-84,Divorced,City,88,11,15.29,3
184,c-970669382377,Other,30-34,Married,City,418,3,120.22,4
185,c-632431874657,F,45-49,Married,City,314,12,42.11,4
186,c-774980346637,F,40-44,Married,City,200,4,111.66,2
187,c-906757616828,M,45-49,Married,City,312,4,146.35,2
188,c-806510684472,M,55-59,Divorced,City,7,1,47.4,1
189,c-785432616048,Other,45-49,Single,City,21,4,30.06,1
190,c-150655618403,M,60-64,Married,Town,177,3,96.6,2
191,c-542627206554,F,30-34,Married,Town,77,3,108.32,4
192,c-222462011894,M,70-74,Divorced,City,7,2,25.74,1
193,c-439822632729,M,45-49,Married,City,285,6,76.98,2
194,c-542627206554,F,15-19,Single,City,16,3,14.67,0
195,c-049306088808,M,15-19,Single,Town,34,12,6.15,0
196,c-542627206554,F,35-39,Married,City,234,3,145.65,2
197,c-785422610890,F,55-59,Divorced,City,14,14,0.3,4
198,c-877784920462,M,25-29,Single,City,35,5,14.5,0
199,c-886772140485,F,45-49,Married,City,351,5,87.63,2
200,c-886772140485,F,60-64,Married,City,156,5,46.82,4
201,c-632431874657,F,70-74,Divorced,Town,39,12,7.71,3
202,c-542627206554,F,35-39,Single,City,41,3,28.66,4
203,c-213474791871,F,60-64,Divorced,City,257,2,140.04,2
204,c-314814316308,Other,25-29,Single,Town,15,1,20.44,4
205,c-877784920462,M,50-54,Married,City,214,5,83.82,2
206,c-439822632729,M,50-54,Married,City,371,6,93.43,2
207,c-906757616828,M,35-39,Divorced,City,540,4,202.99,2
208,c-774980346637,F,70-74,Widowed,City,51,4,23.63,4
209,c-774980346637,F,25-29,Single,City,27,4,25.26,0
210,c-341030744603,F,30-34,Married,City,209,9,37.14,4
211,c-243540080318,Other,35-39,Married,Town,107,5,57.62,2
212,c-705161154877,M,45-49,Divorced,City,42,10,7.81,4
213,c-785422610890,F,55-59,Married,City,251,14,38.55,4
214,c-213474791871,F,85-89,Married,City,98,2,77.67,2
215,c-703706110647,F,75-79,Married,City,210,8,64.1,2
216,c-613901442544,F,60-64,Divorced,City,321,7,73.95,2
217,c-956953784394,Other,80-84,Divorced,City,77,11,11.25,3
218,c-512561918107,Other,30-34,Married,Town,178,6,63.51,4
219,c-886772140485,F,55-59,Married,City,143,5,76.23,2
220,c-213474791871,F,15-19,Single,City,8,2,11.03,0
221,c-877784920462,M,45-49,Married,City,103,5,95.84,1
222,c-886772140485,F,85-89,Married,City,84,5,40.68,4
223,c-542627206554,F,45-49,Divorced,City,10,3,27.93,1
224,c-243540080318,Other,50-54,Married,Town,226,5,73.66,2
225,c-341030744603,F,55-59,Married,City,152,9,32.8,4
226,c-339575700373,M,15-19,Single,Town,21,9,5.05,0
227,c-221929854393,M,40-44,Divorced,Town,75,7,17.15,4
228,c-213474791871,F,35-39,Single,Town,130,2,173.53,4
229,c-703706110647,F,40-44,Married,Town,276,8,60.09,2
230,c-058303313989,Other,45-49,Married,City,258,2,130.0,2
231,c-213474791871,F,45-49,Married,City,265,2,143.94,2
232,c-542627206554,F,35-39,Married,City,131,3,136.93,2
233,c-268301464383,M,45-49,Divorced,City,362,13,51.82,2
234,c-542627206554,F,35-39,Married,City,171,3,151.64,2
235,c-906757616828,M,30-34,Single,Town,40,4,31.91,4
236,c-221929854393,M,35-39,Single,City,89,7,24.36,4
237,c-221929854393,M,70-74,Married,City,351,7,62.54,2
238,c-815497904495,F,20-24,Single,City,21,1,23.5,4
239,c-603459178291,F,60-64,Married,City,208,11,35.53,4
240,c-906757616828,M,15-19,Single,City,21,4,8.72,4
241,c-150655618403,M,45-49,Divorced,City,19,3,35.71,1
242,c-774980346637,F,70-74,Divorced,City,138,4,154.74,1
243,c-703706110647,F,60-64,Married,City,223,8,65.57,2
244,c-785422610890,F,50-54,Married,Town,123,14,14.27,4
245,c-877784920462,M,40-44,Single,Town,27,5,26.46,1
246,c-222462011894,M,75-79,Divorced,City,38,2,31.31,4
247,c-213474791871,F,25-29,Single,City,21,2,21.45,0
248,c-603459178291,F,55-59,Married,City,165,11,32.1,4
249,c-430835412706,F,75-79,Divorced,City,22,6,6.25,4
250,c-703706110647,F,35-39,Single,City,425,8,91.96,4
251,c-886772140485,F,40-44,Single,City,138,5,120.14,1
252,c-613901442544,F,55-59,Married,City,416,7,89.32,2
253,c-613901442544,F,65-69,Married,City,126,7,46.88,4
254,c-213474791871,F,45-49,Married,Town,146,2,135.64,2
255,c-058303313989,Other,55-59,Widowed,Town,39,2,38.3,4
256,c-776435390867,M,70-74,Married,City,249,14,33.91,4
257,c-815497904495,F,50-54,Married,City,156,1,164.58,2
258,c-906757616828,M,70-74,Widowed,Town,48,4,25.32,4
259,c-439822632729,M,55-59,Married,City,241,6,76.43,2
260,c-877784920462,M,65-69,Divorced,City,69,5,16.72,4
261,c-430835412706,F,35-39,Single,City,67,6,18.46,4
262,c-774980346637,F,55-59,Single,City,76,4,32.94,4
263,c-542627206554,F,65-69,Married,City,107,3,103.11,2
264,c-856706852038,Other,50-54,Widowed,City,87,8,21.31,3
265,c-542627206554,F,25-29,Single,City,27,3,18.34,0
266,c-703706110647,F,80-84,Married,City,124,8,29.39,4
267,c-150655618403,M,25-29,Single,Town,20,3,19.19,0
268,c-222462011894,M,20-24,Single,City,10,2,21.71,0
269,c-542627206554,F,60-64,Married,City,118,3,83.62,2
270,c-785432616048,Other,80-84,Divorced,City,33,4,20.44,4
271,c-703706110647,F,45-49,Married,City,368,8,91.72,2
272,c-213474791871,F,35-39,Married,City,91,2,139.54,2
273,c-632431874657,F,55-59,Married,City,165,12,41.22,4
274,c-542627206554,F,35-39,Single,City,61,3,32.38,4
275,c-603459178291,F,40-44,Married,City,271,11,41.57,4
276,c-150655618403,M,50-54,Widowed,City,405,3,191.62,4
277,c-703706110647,F,15-19,Single,City,32,8,6.74,3
278,c-439822632729,M,20-24,Single,City,13,6,5.68,0
279,c-705161154877,M,65-69,Married,City,117,10,19.24,4
280,c-213474791871,F,85-89,Widowed,City,23,2,19.44,4
281,c-906757616828,M,55-59,Married,City,346,4,167.28,2
282,c-213474791871,F,60-64,Divorced,City,19,2,24.77,4
283,c-815497904495,F,55-59,Widowed,City,30,1,221.33,1
284,c-222462011894,M,20-24,Single,City,7,2,15.77,0
285,c-430835412706,F,30-34,Single,City,61,6,13.02,4
286,c-213474791871,F,30-34,Divorced,City,18,2,35.14,4
287,c-785432616048,Other,30-34,Married,City,398,4,118.04,4
288,c-542627206554,F,20-24,Single,City,22,3,15.28,0
289,c-439822632729,M,60-64,Married,City,134,6,50.49,2
290,c-877784920462,M,55-59,Divorced,City,562,5,117.73,2
291,c-603459178291,F,80-84,Married,City,56,11,8.84,4
292,c-150655618403,M,30-34,Married,City,156,3,148.13,4
293,c-613901442544,F,60-64,Married,City,235,7,49.43,4
294,c-906757616828,M,55-59,Married,City,275,4,177.5,2
295,c-430835412706,F,15-19,Single,City,26,6,11.88,0
296,c-806510684472,M,55-59,Divorced,City,30,1,222.78,1
297,c-886772140485,F,25-29,Single,City,38,5,14.23,4
298,c-150655618403,M,45-49,Married,City,98,3,135.18,1
299,c-632431874657,F,40-44,Single,City,35,12,10.47,1
300,c-613901442544,F,40-44,Single,Town,37,7,12.87,4
301,c-703706110647,F,15-19,Single,City,44,8,11.3,0
302,c-705161154877,M,40-44,Married,City,167,10,39.74,4
303,c-785432616048,Other,35-39,Divorced,City,80,4,34.5,4
304,c-430835412706,F,15-19,Single,City,40,6,15.1,0
305,c-806510684472,M,35-39,Single,Town,28,1,154.65,4
306,c-268301464383,M,60-64,Married,City,198,13,29.43,4
307,c-612808850463,Other,55-59,Married,City,148,9,39.42,4
308,c-906757616828,M,50-54,Divorced,City,408,4,231.17,2
309,c-886772140485,F,15-19,Single,Town,18,5,6.94,3
310,c-684083086453,Other,50-54,Married,Town,203,13,29.67,4
311,c-360663773955,F,85-89,Divorced,City,108,22,10.82,3
312,c-906757616828,M,40-44,Married,Town,283,4,118.55,2
313,c-805055640242,F,75-79,Divorced,City,262,17,25.64,3
314,c-603459178291,F,55-59,Single,City,49,11,10.11,3
315,c-222462011894,M,50-54,Married,City,200,2,139.89,2
316,c-886772140485,F,35-39,Single,City,25,5,20.11,4
317,c-906757616828,M,90-94,Divorced,City,31,4,11.88,4
318,c-222462011894,M,45-49,Married,City,174,2,148.5,2
319,c-774980346637,F,60-64,Divorced,Town,120,4,35.13,4
320,c-542627206554,F,15-19,Single,Town,13,3,15.88,0
321,c-243540080318,Other,75-79,Divorced,City,28,5,19.21,1
322,c-430835412706,F,90-94,Single,City,22,6,9.31,3
323,c-542627206554,F,25-29,Married,Town,218,3,93.07,4
324,c-856706852038,Other,40-44,Married,Town,364,8,78.31,2
325,c-906757616828,M,35-39,Married,Town,169,4,100.33,2
326,c-815497904495,F,80-84,Married,City,19,1,88.32,1
327,c-774980346637,F,60-64,Married,City,382,4,120.24,2
328,c-956953784394,Other,55-59,Married,City,215,11,32.1,4
329,c-886772140485,F,40-44,Married,Town,198,5,88.44,2
330,c-886772140485,F,55-59,Married,City,112,5,71.37,1
331,c-222462011894,M,35-39,Married,City,23,2,135.59,2
332,c-806510684472,M,40-44,Married,City,33,1,142.12,1
333,c-339575700373,M,35-39,Married,City,188,9,28.71,4
334,c-906757616828,M,55-59,Widowed,City,288,4,229.3,1
335,c-603459178291,F,50-54,Married,City,137,11,21.23,4
336,c-197027228393,M,45-49,Divorced,Town,83,17,9.85,3
337,c-906757616828,M,90-94,Married,Town,64,4,69.1,1
338,c-886772140485,F,50-54,Married,City,271,5,88.09,2
339,c-815497904495,F,65-69,Divorced,City,5,1,23.58,1
340,c-430835412706,F,65-69,Married,City,185,6,57.24,2
341,c-774980346637,F,70-74,Divorced,City,91,4,44.1,4
342,c-150655618403,M,60-64,Married,City,80,3,112.42,1
343,c-815497904495,F,15-19,Single,City,11,1,13.09,4
344,c-774980346637,F,45-49,Married,City,545,4,137.69,2
345,c-314814316308,Other,70-74,Married,City,41,1,101.02,2
346,c-222462011894,M,25-29,Single,City,8,2,17.33,0
347,c-222462011894,M,45-49,Married,City,29,2,132.1,1
348,c-439822632729,M,50-54,Married,City,166,6,58.66,2
349,c-806510684472,M,55-59,Single,Town,245,1,205.51,4
350,c-906757616828,M,45-49,Married,City,251,4,135.63,2
351,c-906757616828,M,45-49,Single,City,608,4,203.14,4
352,c-542627206554,F,25-29,Married,City,126,3,65.93,4
353,c-221929854393,M,60-64,Divorced,City,245,7,70.27,2
354,c-886772140485,F,75-79,Widowed,City,41,5,16.65,4
355,c-978031852818,M,40-44,Married,City,318,8,65.25,2
356,c-774980346637,F,35-39,Single,City,25,4,29.75,4
357,c-703706110647,F,70-74,Divorced,City,70,8,20.43,4
358,c-314814316308,Other,25-29,Single,Town,13,1,24.02,4
359,c-339575700373,M,50-54,Widowed,City,44,9,11.94,3
360,c-906757616828,M,45-49,Married,City,239,4,125.97,2
361,c-213474791871,F,55-59,Married,Town,30,2,121.61,1
362,c-058303313989,Other,70-74,Divorced,City,21,2,39.98,1
363,c-815497904495,F,25-29,Single,City,28,1,25.2,4
364,c-542627206554,F,35-39,Married,City,397,3,137.54,2
365,c-877784920462,M,45-49,Married,City,130,5,72.87,2
366,c-542627206554,F,60-64,Married,City,73,3,78.97,1
367,c-150655618403,M,60-64,Divorced,City,19,3,26.27,1
368,c-221929854393,M,55-59,Divorced,City,615,7,104.43,2
369,c-733781404252,F,20-24,Single,City,82,21,7.26,3
370,c-150655618403,M,65-69,Divorced,Town,41,3,31.04,4
371,c-542627206554,F,25-29,Married,City,121,3,92.7,0
372,c-532184942301,F,50-54,Married,City,208,15,23.04,4
373,c-542627206554,F,45-49,Married,City,169,3,127.23,2
374,c-774980346637,F,50-54,Single,City,655,4,225.63,4
375,c-815497904495,F,45-49,Married,City,81,1,118.14,2
376,c-970669382377,Other,50-54,Married,City,147,3,164.98,1
377,c-612808850463,Other,75-79,Single,City,35,9,7.44,3
378,c-222462011894,M,55-59,Married,City,87,2,132.44,1
379,c-512561918107,Other,70-74,Married,City,140,6,48.79,4
380,c-439822632729,M,40-44,Married,City,308,6,62.41,2
381,c-542627206554,F,50-54,Married,City,448,3,166.82,2
382,c-774980346637,F,35-39,Single,Town,69,4,30.5,4
383,c-815497904495,F,35-39,Divorced,City,4,1,25.86,3
384,c-197027228393,M,75-79,Married,Town,237,17,21.55,4
385,c-815497904495,F,35-39,Single,City,14,1,31.62,4
386,c-542627206554,F,40-44,Single,City,32,3,38.49,1
387,c-542627206554,F,35-39,Divorced,City,35,3,29.81,4
388,c-978031852818,M,40-44,Single,Town,78,8,17.09,3
389,c-430835412706,F,25-29,Single,City,40,6,10.69,4
390,c-886772140485,F,60-64,Married,Town,252,5,63.1,2
391,c-774980346637,F,30-34,Single,City,126,4,37.75,4
392,c-877784920462,M,25-29,Single,City,21,5,12.39,0
393,c-886772140485,F,40-44,Married,City,144,5,90.33,1
394,c-243540080318,Other,45-49,Married,City,69,5,62.5,1
395,c-886772140485,F,35-39,Single,City,259,5,86.67,4
396,c-542627206554,F,35-39,Single,City,50,3,32.27,4
397,c-222462011894,M,20-24,Married,City,54,2,69.6,0
398,c-439822632729,M,40-44,Married,City,265,6,87.58,2
399,c-460910706311,F,65-69,Divorced,City,19,19,1.79,3
400,c-815497904495,F,55-59,Divorced,Town,48,1,40.53,4
401,c-542627206554,F,20-24,Single,City,23,3,22.41,0
402,c-886772140485,F,65-69,Married,City,109,5,39.57,4
403,c-876329876232,F,50-54,Married,City,198,13,24.1,4
404,c-815497904495,F,25-29,Single,City,6,1,21.56,0
405,c-877784920462,M,40-44,Married,City,67,5,67.66,1
406,c-430835412706,F,55-59,Married,City,247,6,94.18,2
407,c-213474791871,F,55-59,Married,City,235,2,150.37,2
408,c-222462011894,M,60-64,Married,City,122,2,121.73,2
409,c-703706110647,F,45-49,Single,City,104,8,28.24,4
410,c-222462011894,M,40-44,Divorced,Town,68,2,39.25,4
411,c-542627206554,F,35-39,Married,Town,71,3,119.88,2
412,c-360663773955,F,70-74,Married,City,424,22,33.94,4
413,c-150655618403,M,75-79,Married,Town,113,3,82.98,2
414,c-806510684472,M,30-34,Married,Town,103,1,152.93,4
415,c-906757616828,M,30-34,Married,City,438,4,141.66,4
416,c-815497904495,F,35-39,Divorced,City,73,1,194.92,2
417,c-886772140485,F,80-84,Divorced,City,18,5,12.26,1
418,c-512561918107,Other,35-39,Single,City,204,6,86.16,4
419,c-886772140485,F,85-89,Divorced,Town,164,5,64.96,2
420,c-314814316308,Other,55-59,Widowed,City,31,1,40.44,4
421,c-886772140485,F,50-54,Divorced,City,33,5,19.59,4
422,c-995430766442,M,50-54,Married,Town,209,11,41.87,4
423,c-899395146387,Other,55-59,Divorced,Town,87,7,29.97,4
424,c-222462011894,M,30-34,Divorced,City,59,2,37.08,4
425,c-815497904495,F,15-19,Single,City,10,1,17.18,4
426,c-886772140485,F,35-39,Single,City,74,5,17.57,4
427,c-815497904495,F,55-59,Married,City,81,1,125.06,2
428,c-542627206554,F,45-49,Divorced,City,48,3,36.94,4
429,c-213474791871,F,50-54,Married,City,50,2,154.91,1
430,c-339575700373,M,30-34,Married,City,154,9,23.61,4
431,c-222462011894,M,60-64,Married,Town,147,2,112.3,2
432,c-785422610890,F,35-39,Married,Town,209,14,35.32,4
433,c-877784920462,M,75-79,Widowed,City,16,5,9.29,3
434,c-612808850463,Other,55-59,Married,City,166,9,33.32,4
435,c-150655618403,M,25-29,Single,City,38,3,20.28,4
436,c-439822632729,M,30-34,Single,Town,64,6,21.54,4
437,c-877784920462,M,45-49,Single,City,22,5,20.47,1
438,c-222462011894,M,20-24,Married,City,48,2,78.53,0
439,c-221929854393,M,45-49,Married,Town,200,7,69.49,2
440,c-222462011894,M,35-39,Single,Town,36,2,35.14,4
441,c-703706110647,F,45-49,Married,City,198,8,60.82,2
442,c-906757616828,M,55-59,Married,City,379,4,153.23,2
443,c-542627206554,F,25-29,Single,City,19,3,22.15,0
444,c-430835412706,F,15-19,Single,City,7,6,5.34,0
445,c-583836154097,Other,55-59,Married,City,138,10,29.73,4
446,c-877784920462,M,55-59,Divorced,Town,37,5,26.46,1
447,c-049306088808,M,50-54,Divorced,City,57,12,9.1,4
448,c-805055640242,F,50-54,Married,City,266,17,33.68,4
449,c-774980346637,F,70-74,Married,Town,96,4,81.7,1
450,c-906757616828,M,20-24,Single,Town,68,4,21.5,4
451,c-785432616048,Other,35-39,Single,City,53,4,36.99,4
